file name,ego maneuver,ego augmented maneuver,target maneuver,minimum distance btw ego and target
1.csv,go_straight,"['right', 'accelerate', 'right_accelerate', 'left_brake']",go_straight,0.07272769
10.csv,go_straight,"['accelerate', 'brake']",go_straight,0.16219154
1000.csv,go_straight,"['left', 'brake', 'left_brake']",go_straight,3.228639
10000.csv,go_straight,['no_augmentations'],go_straight,26.543306
100000.csv,go_straight,"['left_brake', 'left']",go_straight,2.439697
100001.csv,go_straight,"['right', 'left_brake', 'accelerate']",not_defined,14.650866
100002.csv,go_straight,['right'],go_straight,0.034276552
100003.csv,go_straight,"['accelerate', 'brake']",go_straight,0.15943119
100004.csv,go_straight,['right'],go_straight,5.697231
100005.csv,go_straight,['right'],go_straight,5.8828254
100006.csv,left_lane_change,['right'],go_straight,0.01623122
100007.csv,go_straight,"['accelerate', 'left_brake', 'right']",not_defined,25.096827
100008.csv,go_straight,"['accelerate', 'left_accelerate', 'left']",RIGHT,14.103444
100009.csv,go_straight,"['right', 'accelerate', 'right_accelerate']",LEFT,35.58202
10001.csv,go_straight,['right'],go_straight,9.792173
100011.csv,go_straight,"['left', 'accelerate', 'left_accelerate']",LEFT,5.891365
100012.csv,right_lane_change,"['left_accelerate', 'left', 'accelerate']",go_straight,0.7733752
100013.csv,go_straight,"['accelerate', 'left', 'left_accelerate']",0,9.223119
100014.csv,go_straight,['right'],go_straight,3.0228493
100015.csv,go_straight,"['accelerate', 'left_brake', 'right']",RIGHT,10.599653
100017.csv,go_straight,['left'],go_straight,14.578068
100018.csv,go_straight,['accelerate'],RIGHT,24.471626
100019.csv,go_straight,['left'],RIGHT,5.181861
10002.csv,go_straight,['accelerate'],go_straight,17.960741
100020.csv,go_straight,"['accelerate', 'brake']",go_straight,3.1453962
100021.csv,go_straight,"['left', 'left_accelerate', 'accelerate', 'left_brake']",go_straight,2.8071733
100022.csv,go_straight,"['left_brake', 'accelerate']",go_straight,19.584509
100024.csv,RIGHT,['right'],go_straight,3.2216425
100025.csv,go_straight,"['right_accelerate', 'accelerate', 'right']",go_straight,10.211366
100026.csv,go_straight,"['left', 'left_brake', 'accelerate', 'brake', 'left_accelerate']",go_straight,0.1504978
100027.csv,go_straight,['left'],go_straight,15.491432
100028.csv,go_straight,['no_augmentations'],go_straight,31.162546
100029.csv,go_straight,['right'],go_straight,5.4937344
10003.csv,right_lane_change,"['left_brake', 'left_accelerate', 'left', 'brake', 'accelerate']",RIGHT,10.318484
100030.csv,go_straight,"['right_accelerate', 'right', 'accelerate']",go_straight,0.13647997
100031.csv,go_straight,['accelerate'],go_straight,27.280903
100032.csv,go_straight,['left'],go_straight,0.20727524
100033.csv,go_straight,['right'],go_straight,40.63936
100034.csv,RIGHT,"['brake', 'accelerate']",go_straight,0.15193787
100035.csv,go_straight,"['accelerate', 'left_brake', 'right']",go_straight,0.9340037
100036.csv,go_straight,"['accelerate', 'left', 'left_accelerate']",go_straight,22.75993
100037.csv,go_straight,"['accelerate', 'brake']",go_straight,8.565972
100039.csv,RIGHT,['brake'],go_straight,34.39748
10004.csv,go_straight,"['left_brake', 'accelerate', 'right_accelerate', 'right']",go_straight,3.236908
100040.csv,go_straight,['right'],go_straight,2.8163335
100041.csv,go_straight,['right'],go_straight,18.147686
100042.csv,go_straight,"['left_brake', 'accelerate']",LEFT,19.285646
100043.csv,go_straight,"['accelerate', 'left_brake']",go_straight,3.5964806
100044.csv,go_straight,['left'],go_straight,0.28129107
100046.csv,go_straight,"['right', 'right_accelerate', 'accelerate']",go_straight,2.9981213
100047.csv,go_straight,['right'],not_defined,10.540068
100048.csv,go_straight,"['left_brake', 'accelerate', 'right']",LEFT,50.559643
100049.csv,go_straight,"['accelerate', 'right']",LEFT,23.593842
10005.csv,go_straight,"['accelerate', 'left', 'left_accelerate']",go_straight,20.332935
100050.csv,go_straight,['right'],left_lane_change,4.1841145
100051.csv,go_straight,"['accelerate', 'right_accelerate', 'right']",go_straight,8.498687
100052.csv,go_straight,['no_augmentations'],LEFT,22.787786
100053.csv,go_straight,['accelerate'],not_defined,0.15851507
100054.csv,go_straight,"['left_brake', 'brake', 'left']",go_straight,2.4868987
100055.csv,RIGHT,['brake'],go_straight,0.21572639
100056.csv,go_straight,['accelerate'],go_straight,16.622034
100057.csv,go_straight,"['brake', 'right', 'right_brake', 'right_accelerate', 'left_brake', 'accelerate']",not_defined,26.083742
